epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,253.094,1.34845,1.85813,0.0295,0.06614,0.83165,0.71978,0.81245,0.53008,1.34464,1.14895,0.04119,0.05517,0.00066092,0.00066092,0.00066092
2,303.474,1.3469,0.91891,0.02925,0.07292,0.81508,0.71062,0.82335,0.4973,1.47303,1.05716,0.04578,0.06084,0.0013013,0.0013013,0.0013013
3,339.902,1.34637,0.84745,0.02853,0.07275,0.82593,0.79947,0.87782,0.57991,1.34581,0.81002,0.03724,0.05651,0.00191528,0.00191528,0.00191528
4,381.384,1.32957,0.83872,0.02789,0.06772,0.88638,0.83883,0.92482,0.6154,1.25607,0.69771,0.04163,0.06114,0.0018812,0.0018812,0.0018812
5,425.904,1.28907,0.76233,0.02903,0.06841,0.85865,0.84249,0.92237,0.61635,1.24416,0.6914,0.04321,0.05307,0.0018416,0.0018416,0.0018416
6,464.066,1.26646,0.70713,0.02849,0.06874,0.92197,0.81319,0.93818,0.63763,1.24537,0.61706,0.04303,0.06171,0.001802,0.001802,0.001802
7,501.861,1.24797,0.67923,0.02794,0.06195,0.85946,0.87361,0.93772,0.66328,1.16101,0.56815,0.04133,0.0513,0.0017624,0.0017624,0.0017624
8,539.791,1.24552,0.70429,0.02922,0.05836,0.90552,0.87764,0.95718,0.67411,1.14724,0.52713,0.04485,0.04786,0.0017228,0.0017228,0.0017228
9,576.892,1.1824,0.62366,0.02818,0.05167,0.91624,0.84982,0.94425,0.64981,1.22096,0.58751,0.04613,0.05349,0.0016832,0.0016832,0.0016832
10,616.078,1.20526,0.65266,0.027,0.06682,0.89545,0.83139,0.93351,0.6498,1.19025,0.67611,0.04271,0.0643,0.0016436,0.0016436,0.0016436
11,654.369,1.19385,0.61241,0.02863,0.05866,0.92004,0.88095,0.95562,0.68466,1.11014,0.51556,0.04214,0.04516,0.001604,0.001604,0.001604
12,691.29,1.13633,0.57353,0.0287,0.05203,0.91188,0.90968,0.97034,0.70047,1.06095,0.47366,0.04296,0.04224,0.0015644,0.0015644,0.0015644
13,731.51,1.12077,0.5556,0.02815,0.05381,0.89212,0.91392,0.96089,0.67904,1.08704,0.50572,0.04273,0.04294,0.0015248,0.0015248,0.0015248
14,769.97,1.10177,0.54061,0.02834,0.05073,0.93574,0.89377,0.96583,0.69866,1.04807,0.45653,0.04287,0.04473,0.0014852,0.0014852,0.0014852
15,807.908,1.12083,0.56133,0.02801,0.05469,0.89721,0.87922,0.96158,0.71899,1.04417,0.45876,0.04316,0.04295,0.0014456,0.0014456,0.0014456
16,848.249,1.09324,0.51287,0.02834,0.04931,0.91004,0.91026,0.95802,0.7169,1.00229,0.46425,0.04298,0.04431,0.001406,0.001406,0.001406
17,888.777,1.07844,0.5582,0.02557,0.05152,0.92104,0.92674,0.97231,0.7158,1.01854,0.43191,0.04437,0.04193,0.0013664,0.0013664,0.0013664
18,926.239,1.06267,0.49727,0.02652,0.0501,0.89294,0.91654,0.96589,0.71282,1.02743,0.45343,0.0415,0.04118,0.0013268,0.0013268,0.0013268
19,967.909,1.07629,0.50002,0.02702,0.05063,0.95629,0.8815,0.9743,0.71958,1.03515,0.41899,0.04239,0.0427,0.0012872,0.0012872,0.0012872
20,1007.27,1.06256,0.49867,0.02873,0.04824,0.9063,0.93223,0.97331,0.72844,0.98252,0.4298,0.04459,0.04182,0.0012476,0.0012476,0.0012476
21,1043.97,1.04592,0.48624,0.02738,0.04943,0.91902,0.90476,0.96047,0.715,0.97429,0.45427,0.04217,0.04179,0.001208,0.001208,0.001208
22,1083.73,1.03407,0.45465,0.02742,0.04576,0.93001,0.91392,0.97753,0.72255,1.01752,0.42069,0.04196,0.03825,0.0011684,0.0011684,0.0011684
23,1122.44,1.01519,0.4979,0.02934,0.04414,0.9398,0.93407,0.97946,0.73555,1,0.3832,0.04225,0.04169,0.0011288,0.0011288,0.0011288
24,1160.78,1.02202,0.46413,0.02813,0.04794,0.93651,0.94557,0.97775,0.74309,0.96959,0.38124,0.04276,0.03725,0.0010892,0.0010892,0.0010892
25,1195.92,1.01884,0.47447,0.02778,0.05027,0.9192,0.95788,0.97826,0.7415,0.97103,0.3849,0.0426,0.0378,0.0010496,0.0010496,0.0010496
26,1234.21,0.98476,0.43512,0.02771,0.04354,0.93278,0.93773,0.97673,0.7508,0.94279,0.39394,0.04032,0.03807,0.00101,0.00101,0.00101
27,1273.4,1.01788,0.4561,0.02763,0.04546,0.94401,0.92643,0.98042,0.74641,0.95462,0.38815,0.04133,0.03814,0.0009704,0.0009704,0.0009704
28,1312.01,0.97956,0.42082,0.02615,0.04488,0.93034,0.9304,0.97754,0.75112,0.93246,0.38361,0.0406,0.03556,0.0009308,0.0009308,0.0009308
29,1353.18,0.97024,0.42456,0.02737,0.04406,0.94014,0.94924,0.9825,0.75277,0.93243,0.35858,0.04201,0.03755,0.0008912,0.0008912,0.0008912
30,1395.13,0.96175,0.42987,0.02753,0.04058,0.94202,0.94872,0.98096,0.74599,0.93919,0.38113,0.0424,0.04202,0.0008516,0.0008516,0.0008516
31,1431.35,0.95212,0.41143,0.02787,0.04478,0.94772,0.94139,0.97834,0.76198,0.89714,0.37276,0.04181,0.04038,0.000812,0.000812,0.000812
32,1469.38,0.92597,0.38966,0.02723,0.04238,0.92125,0.94277,0.97739,0.73487,0.94634,0.39137,0.04162,0.04108,0.0007724,0.0007724,0.0007724
33,1508.23,0.9499,0.41095,0.02777,0.0443,0.95336,0.94139,0.9822,0.76122,0.93072,0.35269,0.04135,0.0369,0.0007328,0.0007328,0.0007328
34,1544.75,0.92571,0.40152,0.02698,0.04143,0.94791,0.95971,0.98635,0.77706,0.87176,0.33966,0.04238,0.03783,0.0006932,0.0006932,0.0006932
35,1583.48,0.9169,0.38335,0.0284,0.03909,0.94051,0.95555,0.98655,0.75959,0.93279,0.3308,0.04311,0.03897,0.0006536,0.0006536,0.0006536
36,1624.12,0.90808,0.37677,0.02787,0.04292,0.95045,0.94872,0.98131,0.77454,0.87827,0.35707,0.04187,0.03964,0.000614,0.000614,0.000614
37,1659.56,0.88566,0.37549,0.02794,0.04463,0.93521,0.9518,0.97793,0.76316,0.90116,0.36466,0.0432,0.03589,0.0005744,0.0005744,0.0005744
38,1697.98,0.91367,0.37634,0.02871,0.04129,0.94196,0.94872,0.9844,0.77596,0.88094,0.33672,0.04164,0.03713,0.0005348,0.0005348,0.0005348
39,1735.92,0.89465,0.36895,0.02785,0.03994,0.94438,0.96402,0.98435,0.77083,0.88586,0.32387,0.04159,0.03702,0.0004952,0.0004952,0.0004952
40,1775.92,0.88008,0.3621,0.02738,0.04182,0.95056,0.95067,0.98617,0.7864,0.85092,0.3187,0.04229,0.03478,0.0004556,0.0004556,0.0004556
41,1814.25,0.82049,0.29334,0.03497,0.03094,0.9626,0.93773,0.98652,0.78791,0.85019,0.32778,0.04174,0.03783,0.000416,0.000416,0.000416
42,1852.65,0.79624,0.29087,0.03572,0.02947,0.96278,0.95604,0.988,0.78554,0.86003,0.31328,0.04215,0.0377,0.0003764,0.0003764,0.0003764
43,1891.28,0.79731,0.29536,0.03584,0.03006,0.95263,0.95772,0.98786,0.78816,0.84708,0.33454,0.04222,0.03492,0.0003368,0.0003368,0.0003368
44,1926.7,0.77417,0.26923,0.03458,0.03026,0.96584,0.9359,0.98659,0.79028,0.83141,0.32891,0.04196,0.03628,0.0002972,0.0002972,0.0002972
45,1965.12,0.79769,0.285,0.03481,0.03155,0.96968,0.93727,0.98518,0.7853,0.84913,0.33483,0.04255,0.03528,0.0002576,0.0002576,0.0002576
46,2003.11,0.78218,0.28121,0.03576,0.02933,0.96847,0.94505,0.98509,0.7916,0.83245,0.32737,0.04099,0.03485,0.000218,0.000218,0.000218
